,title,price,stars,sales,disc
0,"Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","6,999",3.9 out of 5 stars,"8,446",
1,"Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","6,999",3.9 out of 5 stars,"8,446",
2,"OnePlus 11 5G (Titan Black, 16GB RAM, 256GB Storage)","61,999",4.3 out of 5 stars,"4,245",
3,"Redmi A2 (Aqua Blue, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","6,299",3.8 out of 5 stars,"4,238",(30% off)
4,"realme C55 (Rainforest, 6GB RAM, 64 Storage) | 6.72 inch Full HD+ Display | 64MP + 2MP | 8MP Front Camera | Helio G88 Processor | Brilliant Security | Convenient Multitasking","10,713",4.0 out of 5 stars,246,(23% off)
5,"Redmi Note 12 (Lunar Black, 6GB RAM, 64GB Storage)","11,999",3.7 out of 5 stars,96,(37% off)
6,"Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue","12,499",3.9 out of 5 stars,"4,237",(26% off)
7,"Vivo Y02t (Sunset Gold, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","8,999",4.0 out of 5 stars,109,(44% off)
8,"Redmi 12C (Royal Blue, 4GB RAM, 128GB Storage)","8,499",3.9 out of 5 stars,"8,446",(43% off)
9,"Redmi A2 (Aqua Blue, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","6,799",3.8 out of 5 stars,"4,238",(38% off)
10,realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,"7,499",4.0 out of 5 stars,"7,302",(25% off)
11,"IKALL S2 Smartphone with 21MP Camera (6.8"" HD Display, 6GB, 128GB Storage) (Purple)","9,799",3.9 out of 5 stars,6,
12,Redmi 12 5G Jade Black 4GB RAM 128GB ROM,"11,999",3.7 out of 5 stars,"2,841",
13,"Redmi A2 (Classic Black, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","6,799",3.8 out of 5 stars,"4,238",(38% off)
14,realme narzo 50i Prime (Mint Green 4GB RAM+64GB Storage) Octa-core Processor |5000 mAh Battery,"7,499",4.0 out of 5 stars,"7,302",(25% off)
15,"TECNO Spark 9 (Infinity Black, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor","6,999",3.9 out of 5 stars,"6,191",(39% off)
16,"Samsung Galaxy M34 5G (Waterfall Blue,8GB,256GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","20,999",3.9 out of 5 stars,"4,667",(26% off)
17,"Samsung Galaxy M34 5G (Midnight Blue,8GB,256GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","20,999",3.9 out of 5 stars,"4,667",(26% off)
18,"Samsung Galaxy M34 5G (Prism Silver,8GB,256GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","20,999",3.9 out of 5 stars,"4,667",(26% off)
19,"Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)","5,299",3.8 out of 5 stars,"4,238",(47% off)
20,"Vivo Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,999",4.1 out of 5 stars,75,(21% off)
21,"Samsung Galaxy M34 5G (Midnight Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","16,299",3.9 out of 5 stars,"4,667",
22,"OnePlus Nord 3 5G (Misty Green, 8GB RAM, 128GB Storage)","33,999",4.0 out of 5 stars,"2,047",
23,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)","9,999",4.3 out of 5 stars,"4,245",
24,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)","61,999",4.3 out of 5 stars,"4,245",
25,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)","61,999",4.3 out of 5 stars,"4,245",
26,"Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","6,999",3.9 out of 5 stars,"8,446",
27,"Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery","6,999",3.9 out of 5 stars,"8,446",
28,"Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)","5,299",3.8 out of 5 stars,"4,238",(47% off)
29,"Redmi A2 (Sea Green, 2GB RAM, 64GB Storage)","5,299",3.8 out of 5 stars,"4,238",(47% off)
30,"Vivo Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,999",4.1 out of 5 stars,75,(21% off)
31,"Vivo Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,999",4.1 out of 5 stars,75,(21% off)
32,"Redmi Note 12 5G (Matte Black,8GB RAM, 256GB Storage)","19,499",3.8 out of 5 stars,"8,090",(19% off)
33,"Redmi Note 12 5G (Matte Black,8GB RAM, 256GB Storage)","19,499",3.8 out of 5 stars,"8,090",(19% off)
34,"realme narzo N55 (Prime Black, 4GB+64GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","10,999",4.0 out of 5 stars,"8,535",(15% off)
35,"realme narzo N55 (Prime Black, 4GB+64GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera","10,999",4.0 out of 5 stars,"8,535",(15% off)
36,"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","6,499",3.9 out of 5 stars,"12,685",(46% off)
